sg_uf;nm_operacao;dt_deflagracao;ano;sg_unidade;nr_mpp;nr_mpt;nr_flagrante
CE; VELA E PREGO;2019-04-12;2019;SR/PF/CE;0;0;0
RJ;ULTRAJE;2019-04-15;2019;PF/NIG/RJ;6;1;0
BA;THREE HILLS;2019-04-16;2019;PF/VDC/BA;0;0;0
TO; KRANK;2019-04-18;2019;SR/PF/TO;1;0;0
AM;ZERO UM;2019-04-22;2019;SR/PF/AM;1;0;0
PR;IPL 0268-2015-4-SR-PF-PR;2019-04-24;2019;SR/PF/PR;0;0;0
BA;CONDOTTIERI II;2019-04-26;2019;PF/VDC/BA;0;0;0
PB; RECIDIVA 3;2019-04-30;2019;PF/PAT/PB;0;0;0
TO; KRANK II;2019-05-03;2019;SR/PF/TO;0;0;0
MS;NOTA ZERO;2019-05-08;2019;SR/PF/MS;0;0;1
PR; LAVA JATO - FASE 61 - DISFARCES DE MAMOM;2019-05-08;2019;SR/PF/PR;3;3;0
RN;BALCÃO;2019-05-08;2019;SR/PF/RN;0;0;0
RJ;XAVANTES;2019-05-08;2019;PF/NIG/RJ;0;0;0
PE;CHOFER;2019-05-15;2019;PF/SGO/PE;0;0;0
MG;FRAUDE TOTAL;2019-05-21;2019;PF/JFA/MG;0;3;0
RO;INTER FRATREM;2019-05-22;2019;SR/PF/RO;4;4;0
TO;REITERATES;2019-05-22;2019;PF/AGA/TO;0;0;0
PB;XEQUE-MATE IV;2019-05-22;2019;SR/PF/PB;0;0;0
MG;DESVIA;2019-05-23;2019;PF/JFA/MG;0;0;0
MG;ABSIDE;2019-05-23;2019;SR/PF/MG;0;0;0
MS;ATALHOS;2019-05-28;2019;PF/TLS/MS;0;0;0
RJ;CLANDESTINOS;2019-05-29;2019;SR/PF/RJ;3;2;0
BA;PEDRA AFIADA;2019-05-30;2019;PF/VDC/BA;0;0;0
SC;ALCATRAZ;2019-05-30;2019;SR/PF/SC;8;3;1
MG;ESCOBAR;2019-06-05;2019;SR/PF/MG;3;1;0
RJ;TERGIVERSAÇÃO;2019-06-11;2019;SIP/SR/PF/RJ;6;3;0
SE;DUAS PEDRAS;2019-06-12;2019;SR/PF/SE;0;0;0
RO;PARE E SIGA;2019-06-14;2019;SR/PF/RO;0;0;0
PB;CERCO;2019-06-14;2019;PF/CGE/PB;0;0;0
SP; REBOOT (END POINT);2019-06-18;2019;PF/MII/SP;0;0;0
TO;DOSE PARA LEÃO;2019-06-27;2019;PF/AGA/TO;0;0;0
AP; PEDÁGIO;2019-06-27;2019;SR/PF/AP;2;0;0
PE;INSANIDADE;2019-06-27;2019;PF/CRU/PE;0;0;2
RJ;IPL Nº 51/2019 - DELECOR;2019-07-01;2019;SR/PF/RJ;0;1;0
RO; CARROSSEL;2019-07-04;2019;SR/PF/RO;0;5;0
RR;TANTALO II;2019-07-04;2019;SR/PF/RR;4;0;0
MG;DESVIA - FASE III;2019-07-09;2019;PF/JFA/MG;0;0;0
RO;MÃO DUPLA;2019-07-10;2019;SR/PF/RO;1;6;0
PE;REMENDA SEQUESTRO;2019-07-18;2019;SR/PF/PE;0;0;0
AM;VERTEX;2019-07-19;2019;SR/PF/AM;0;12;0
ES;ENDOSSO;2019-07-19;2019;SR/PF/ES;0;0;0
RO;REAÇÃO EM CADEIA;2019-07-22;2019;SR/PF/RO;1;0;0
PB;FAMINTOS;2019-07-24;2019;PF/CGE/PB;0;14;2
PB;FEUDO;2019-07-24;2019;PF/CGE/PB;0;3;1
MT;REI SOL;2019-07-24;2019;PF/BRG/MT;0;0;0
AM;EMINÊNCIA PARDA;2019-07-30;2019;SR/PF/AM;2;0;0
RR;QUÍRON;2019-08-01;2019;SR/PF/RR;0;0;0
MA;CRUZETAS;2019-08-02;2019;SR/PF/MA;0;0;0
MG;ROTA BR 090;2019-08-06;2019;SR/PF/MG;6;4;0
PA;CIDADELA;2019-08-06;2019;SR/PF/PA;0;0;0
SC;BANDAGEM;2019-08-07;2019;PF/XAP/SC;0;0;0
